2411.45,187610.80
2387.77,185291.20
2404.78,187092.00
2395.58,186376.00
2382.54,185362.00
2408.09,187349.60
2412.85,189650.00
2393.29,183804.40
2407.80,187326.80
2405.17,187122.00
2396.88,188874.40
2388.51,185348.00
2408.52,184974.00
2384.74,185532.40
2403.91,187024.40
2401.11,186326.00
2382.22,185336.80
2396.39,186439.20
2390.25,185961.20
2402.52,186916.40
2379.23,184628.40
2398.67,186616.80
2400.71,186775.60
2405.58,187154.40
2376.97,184928.00
2402.90,186464.80
2398.09,184173.60
2388.16,185799.20
2407.29,184879.60
2390.76,186000.80
2403.04,186476.00
2386.99,183321.20
2412.78,187714.40
2385.13,183178.00
2404.66,189006.00
2394.43,186286.40
2387.55,185751.20
2403.37,186982.00
2407.76,187323.60
2390.29,185964.80
2405.90,187178.80
2391.16,186032.00
2397.88,186554.80
2394.06,186257.60
2380.95,185237.60
2402.73,186932.40
2391.03,186022.40
2393.78,186236.40
2401.29,184419.20
2389.46,185900.00
2472.55,199782.40
2405.32,187134.00
2390.07,185469.60
2394.60,188694.80
2386.77,188077.60
2451.78,183392.80
2398.82,186148.40
2398.78,186624.80
2391.81,186083.20
2393.46,188604.80
2393.89,186244.40
2397.31,188908.40
2374.34,184248.80
2385.59,185599.20
2392.25,186116.80
2397.95,186560.80
2391.41,188443.20
2395.37,188755.20
2394.37,186282.00
2388.91,188246.00
2400.21,186736.40
2399.94,186715.60
2387.78,188156.80
2389.87,185931.60
2373.26,181791.60
2392.52,186138.00
2383.34,185424.00
2384.80,185537.20
2393.16,188581.20
2374.81,186660.40
2390.82,197482.00
2408.09,198908.40
2402.03,198888.00
2384.26,201708.80
2402.50,200848.80
2395.67,200756.80
2382.72,199195.60
2387.77,199617.20
2394.13,200149.60
2393.20,200550.40
2383.43,196871.60
2392.10,197587.60
2383.66,194983.20
2403.17,201386.00
2379.83,196574.00
2403.19,198503.20
2392.94,195742.40
2382.65,197283.20
2394.29,195374.40
2385.44,197037.60
2394.04,198226.40
2375.71,196708.40
2396.41,200339.60
2394.18,195365.20
2397.22,196092.40
2385.43,197513.60
2389.25,195440.80
2402.24,198424.80
2389.17,199734.80
2385.16,197491.60
2392.26,199992.80
2398.73,198134.80
2398.83,196224.00
2404.14,199062.80
2380.02,198970.00
2387.27,199575.60
2398.93,201030.40
2383.00,197312.40
2398.03,198077.60
2381.44,196706.80
2382.66,194901.60
2394.51,198265.20
2393.24,197682.00
2381.28,194312.40
2390.06,197896.80
2405.21,199151.20
2402.52,198448.00
2392.97,195266.40
2378.76,196485.20
2393.22,198158.80
2442.35,213949.60
2440.63,201596.40
2464.90,204094.00
2372.44,198335.60
2387.09,199560.80
2395.84,198375.60
2389.80,199787.60
2390.01,199804.80
2415.76,200024.80
2385.50,197042.00
2364.46,195304.80
2381.21,194306.80
2391.91,198050.00
2382.54,199180.00
2375.98,196256.00
2371.57,196366.40
2407.78,199364.00
2375.14,198561.60
2397.31,200414.80
2386.52,199990.00
2392.43,200007.20
2389.24,197351.20
2392.97,198137.60
2385.02,197480.00
2374.93,198544.00
2367.61,195564.80
2387.57,197213.20
2374.17,198955.60
2390.62,197465.60
2392.47,200010.40
